_id,Nama ODTW,Kode ODTW,Bulan kunjungan,Klasifikasi pengunjung/ wisatawan,Jumlah pengunjung/ wisatawan
"246,MUSEUM DR. SOETOMO & GNI,"""",MARET,WISNUS,0"
"247,MUSEUM DR. SOETOMO & GNI,"""",APRIL,WISMAN,0"
"248,MUSEUM DR. SOETOMO & GNI,"""",APRIL,WISNUS,32"
"249,MUSEUM DR. SOETOMO & GNI,"""",MEI,WISMAN,0"
"250,MUSEUM DR. SOETOMO & GNI,"""",MEI,WISNUS,126"
"251,MUSEUM DR. SOETOMO & GNI,"""",JUNI,WISMAN,0"
"252,MUSEUM DR. SOETOMO & GNI,"""",JUNI,WISNUS,82"
"253,MUSEUM DR. SOETOMO & GNI,"""",JULI,WISMAN,0"
"254,MUSEUM DR. SOETOMO & GNI,"""",JULI,WISNUS,0"
"255,MUSEUM DR. SOETOMO & GNI,"""",AGUSTUS,WISMAN,0"
"256,MUSEUM DR. SOETOMO & GNI,"""",AGUSTUS,WISNUS,0"
"257,MUSEUM DR. SOETOMO & GNI,"""",SEPTEMBER,WISMAN,0"
"258,MUSEUM DR. SOETOMO & GNI,"""",SEPTEMBER,WISNUS,139"
"259,MUSEUM DR. SOETOMO & GNI,"""",OKTOBER,WISMAN,0"
"260,MUSEUM DR. SOETOMO & GNI,"""",OKTOBER,WISNUS,96"
"261,MUSEUM DR. SOETOMO & GNI,"""",NOPEMBER,WISMAN,0"
"262,MUSEUM DR. SOETOMO & GNI,"""",NOPEMBER,WISNUS,239"
"263,MUSEUM DR. SOETOMO & GNI,"""",DESEMBER,WISMAN,0"
"264,MUSEUM DR. SOETOMO & GNI,"""",DESEMBER,WISNUS,371"
"265,MUSEUM HOS COKROAMINOTO,"""",JANUARI,WISMAN,0"
"266,MUSEUM HOS COKROAMINOTO,"""",JANUARI,WISNUS,0"
"267,MUSEUM HOS COKROAMINOTO,"""",FEBRUARI,WISMAN,0"
"268,MUSEUM HOS COKROAMINOTO,"""",FEBRUARI,WISNUS,0"
"269,MUSEUM HOS COKROAMINOTO,"""",MARET,WISMAN,0"
"270,MUSEUM HOS COKROAMINOTO,"""",MARET,WISNUS,0"
"271,MUSEUM HOS COKROAMINOTO,"""",APRIL,WISMAN,0"
"272,MUSEUM HOS COKROAMINOTO,"""",APRIL,WISNUS,52"
"273,MUSEUM HOS COKROAMINOTO,"""",MEI,WISMAN,1"
"274,MUSEUM HOS COKROAMINOTO,"""",MEI,WISNUS,166"
"275,MUSEUM HOS COKROAMINOTO,"""",JUNI,WISMAN,1"
"276,MUSEUM HOS COKROAMINOTO,"""",JUNI,WISNUS,233"
"277,MUSEUM HOS COKROAMINOTO,"""",JULI,WISMAN,0"
"278,MUSEUM HOS COKROAMINOTO,"""",JULI,WISNUS,0"
"279,MUSEUM HOS COKROAMINOTO,"""",AGUSTUS,WISMAN,0"
"280,MUSEUM HOS COKROAMINOTO,"""",AGUSTUS,WISNUS,0"
"281,MUSEUM HOS COKROAMINOTO,"""",SEPTEMBER,WISMAN,0"
"282,MUSEUM HOS COKROAMINOTO,"""",SEPTEMBER,WISNUS,94"
"283,MUSEUM HOS COKROAMINOTO,"""",OKTOBER,WISMAN,2"
"284,MUSEUM HOS COKROAMINOTO,"""",OKTOBER,WISNUS,18"
"285,MUSEUM HOS COKROAMINOTO,"""",NOPEMBER,WISMAN,0"
"286,MUSEUM HOS COKROAMINOTO,"""",NOPEMBER,WISNUS,631"
"287,MUSEUM HOS COKROAMINOTO,"""",DESEMBER,WISMAN,0"
"288,MUSEUM HOS COKROAMINOTO,"""",DESEMBER,WISNUS,632"
"289,MUSEUM PENDIDIKAN,"""",JANUARI,WISMAN,0"
"290,MUSEUM PENDIDIKAN,"""",JANUARI,WISNUS,0"
"291,MUSEUM PENDIDIKAN,"""",FEBRUARI,WISMAN,0"
"292,MUSEUM PENDIDIKAN,"""",FEBRUARI,WISNUS,21"
"293,MUSEUM PENDIDIKAN,"""",MARET,WISMAN,0"
"294,MUSEUM PENDIDIKAN,"""",MARET,WISNUS,21"
"295,MUSEUM PENDIDIKAN,"""",APRIL,WISMAN,0"
"296,MUSEUM PENDIDIKAN,"""",APRIL,WISNUS,159"
"297,MUSEUM PENDIDIKAN,"""",MEI,WISMAN,1"
"298,MUSEUM PENDIDIKAN,"""",MEI,WISNUS,775"
"299,MUSEUM PENDIDIKAN,"""",JUNI,WISMAN,1"
"300,MUSEUM PENDIDIKAN,"""",JUNI,WISNUS,1207"
"301,MUSEUM PENDIDIKAN,"""",JULI,WISMAN,0"
"302,MUSEUM PENDIDIKAN,"""",JULI,WISNUS,0"
"303,MUSEUM PENDIDIKAN,"""",AGUSTUS,WISMAN,0"
"304,MUSEUM PENDIDIKAN,"""",AGUSTUS,WISNUS,0"
"305,MUSEUM PENDIDIKAN,"""",SEPTEMBER,WISMAN,0"
"306,MUSEUM PENDIDIKAN,"""",SEPTEMBER,WISNUS,355"
"307,MUSEUM PENDIDIKAN,"""",OKTOBER,WISMAN,0"
"308,MUSEUM PENDIDIKAN,"""",OKTOBER,WISNUS,336"
"309,MUSEUM PENDIDIKAN,"""",NOPEMBER,WISMAN,1"
"310,MUSEUM PENDIDIKAN,"""",NOPEMBER,WISNUS,855"
"311,MUSEUM PENDIDIKAN,"""",DESEMBER,WISMAN,0"
"312,MUSEUM PENDIDIKAN,"""",DESEMBER,WISNUS,2124"
"313,MUSEUM OLAHRAGA,"""",JANUARI,WISMAN,0"
"314,MUSEUM OLAHRAGA,"""",JANUARI,WISNUS,0"
"315,MUSEUM OLAHRAGA,"""",FEBRUARI,WISMAN,0"
"316,MUSEUM OLAHRAGA,"""",FEBRUARI,WISNUS,0"
"317,MUSEUM OLAHRAGA,"""",MARET,WISMAN,0"
"318,MUSEUM OLAHRAGA,"""",MARET,WISNUS,0"
"319,MUSEUM OLAHRAGA,"""",APRIL,WISMAN,0"
"320,MUSEUM OLAHRAGA,"""",APRIL,WISNUS,0"
"321,MUSEUM OLAHRAGA,"""",MEI,WISMAN,0"
"322,MUSEUM OLAHRAGA,"""",MEI,WISNUS,373"
"323,MUSEUM OLAHRAGA,"""",JUNI,WISMAN,0"
"324,MUSEUM OLAHRAGA,"""",JUNI,WISNUS,361"
"325,MUSEUM OLAHRAGA,"""",JULI,WISMAN,0"
"326,MUSEUM OLAHRAGA,"""",JULI,WISNUS,0"
"327,MUSEUM OLAHRAGA,"""",AGUSTUS,WISMAN,0"
"328,MUSEUM OLAHRAGA,"""",AGUSTUS,WISNUS,0"
"329,MUSEUM OLAHRAGA,"""",SEPTEMBER,WISMAN,0"
"330,MUSEUM OLAHRAGA,"""",SEPTEMBER,WISNUS,198"
"331,MUSEUM OLAHRAGA,"""",OKTOBER,WISMAN,0"
"332,MUSEUM OLAHRAGA,"""",OKTOBER,WISNUS,158"
"333,MUSEUM OLAHRAGA,"""",NOPEMBER,WISMAN,0"
"334,MUSEUM OLAHRAGA,"""",NOPEMBER,WISNUS,410"
"335,MUSEUM OLAHRAGA,"""",DESEMBER,WISMAN,0"
"336,MUSEUM OLAHRAGA,"""",DESEMBER,WISNUS,466"
"337,MUSEUM NU,"""",JANUARI,WISMAN,0"
"338,MUSEUM NU,"""",JANUARI,WISNUS,28"
"339,MUSEUM NU,"""",FEBRUARI,WISMAN,0"
"340,MUSEUM NU,"""",FEBRUARI,WISNUS,20"
"341,MUSEUM NU,"""",MARET,WISMAN,0"
"342,MUSEUM NU,"""",MARET,WISNUS,70"
"343,MUSEUM NU,"""",APRIL,WISMAN,0"
"344,MUSEUM NU,"""",APRIL,WISNUS,143"
"345,MUSEUM NU,"""",MEI,WISMAN,0"
"346,MUSEUM NU,"""",MEI,WISNUS,49"
"347,MUSEUM NU,"""",JUNI,WISMAN,0"
"348,MUSEUM NU,"""",JUNI,WISNUS,28"
"349,MUSEUM NU,"""",JULI,WISMAN,0"
"350,MUSEUM NU,"""",JULI,WISNUS,6"
"351,MUSEUM NU,"""",AGUSTUS,WISMAN,0"
"352,MUSEUM NU,"""",AGUSTUS,WISNUS,4"
"353,MUSEUM NU,"""",SEPTEMBER,WISMAN,0"
"354,MUSEUM NU,"""",SEPTEMBER,WISNUS,19"
"355,MUSEUM NU,"""",OKTOBER,WISMAN,0"
"356,MUSEUM NU,"""",OKTOBER,WISNUS,162"
"357,MUSEUM NU,"""",NOPEMBER,WISMAN,0"
"358,MUSEUM NU,"""",NOPEMBER,WISNUS,99"
"359,MUSEUM NU,"""",DESEMBER,WISMAN,0"
"360,MUSEUM NU,"""",DESEMBER,WISNUS,92"
"361,MASJID AL-AKBAR,"""",JANUARI,WISMAN,0"
"362,MASJID AL-AKBAR,"""",JANUARI,WISNUS,56"
"363,MASJID AL-AKBAR,"""",FEBRUARI,WISMAN,0"
